DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z,Time,SearchTime,MenuTime,ErrorCount
Momote,6,307,1,7,MoMote,Bottom,Normal,11300.185,10089.182,1211.003,0
Momote,6,308,1,8,MoMote,Right,Far,12406.317,10086.278,2320.039,0
Momote,6,309,1,9,MoMote,Right,Close,8473.973,6556.959,1917.014,0
Momote,6,310,1,10,MoMote,Left,Close,11801.111,8270.481,3530.63,0
Momote,6,311,1,11,MoMote,Top,Normal,9583.211,8372.095,1211.116,0
Momote,6,312,1,12,MoMote,Bottom,Close,8674.775,4538.721,4136.054,0
Momote,6,313,1,13,MoMote,Back,Far,13918.927,11398.188,2520.739,0
Momote,6,314,1,14,MoMote,Back,Close,6960.948,5447.629,1513.319,0
Momote,6,315,1,15,MoMote,Top,Close,5446.554,4034.337,1412.217,0
Momote,6,316,1,16,MoMote,Bottom,Normal,5750.096,4136.013,1614.083,0
Momote,6,317,1,17,MoMote,Right,Close,4639.399,3126.667,1512.732,0
Momote,6,318,1,18,MoMote,Back,Far,14525.578,10692.524,3833.054,0
Momote,6,319,1,19,MoMote,Top,Close,10591.512,8574.739,2016.773,0
Momote,6,320,1,20,MoMote,Right,Normal,4841.828,3026.536,1815.292,0
Momote,6,321,1,21,MoMote,Bottom,Close,5345.554,4135.774,1209.78,0
Momote,6,322,1,22,MoMote,Left,Normal,6355.661,5447.918,907.743,0
Momote,6,323,1,23,MoMote,Bottom,Far,9178.577,7666.013,1512.564,0
Momote,6,324,1,24,MoMote,Back,Close,6657.893,5144.694,1513.199,0
Momote,6,325,1,25,MoMote,Top,Normal,8472.769,7665.948,806.821,0
Momote,6,326,1,26,MoMote,Left,Far,12305.315,10792.545,1512.77,0
Momote,6,327,1,27,MoMote,Top,Far,12810.997,11197.103,1613.894,0
Momote,6,328,1,28,MoMote,Left,Close,4640.58,3631.259,1009.321,0
Momote,6,329,1,29,MoMote,Right,Far,8775.667,7261.898,1513.769,0
Momote,6,330,1,30,MoMote,Back,Normal,6051.391,4033.83,2017.561,0
